pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,814.82
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,820.09
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,820.3
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,817.45
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,816.39
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,816.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,817.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,825.13
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,825.76
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,826.56
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,823.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,823.56
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,826.4
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,827.01
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,830.08
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,830.05
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,831.75
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,828.27
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,827.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,827.33
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,829.37
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,832.39
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,833.17
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,833.66
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,830.09
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,829.8
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,830.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,829.83
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,809.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,810.79
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,811.96
